username;tempo;nome_programma;computerfbast;05/09/2023, 
19:18:19 1683652717.9712927;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/09/2023, 19:34:19  / 1683653640.5562286;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/09/2023, 19:34:19  / 1683653672.957761;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/09/2023, 19:35:19  / 1683653744.4298477;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/09/2023, 19:37:19  / 1683653835.7881536;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/09/2023, 19:38:19  / 1683653883.514593;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/09/2023, 19:45:19  / 1683654319.2125933;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/09/2023, 19:47:19  / 1683654448.0525458;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/09/2023, 19:48:19  / 1683654510.0860066;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/09/2023, 19:48:19  / 1683654524.7081513;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/09/2023, 19:51:19  / 1683654703.7869954;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/09/2023, 19:52:19  / 1683654779.9839237;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/09/2023, 19:54:19  / 1683654887.1873727;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/09/2023, 19:55:19  / 1683654913.3371892;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/09/2023, 19:56:19  / 1683654984.6869705;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/09/2023, 20:01:20  / 1683655283.7196953;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/09/2023, 20:03:20  / 1683655385.2012324;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/09/2023, 20:04:20  / 1683655478.9375367;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/09/2023, 20:05:20  / 1683655510.2303114;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/09/2023, 20:06:20  / 1683655594.8521824;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/09/2023, 20:07:20  / 1683655655.9311433;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/09/2023, 20:08:20  / 1683655691.806856;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/09/2023, 20:08:20  / 1683655712.7170272;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/09/2023, 20:13:20  / 1683655994.0416296;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/09/2023, 20:26:20  / 1683656801.7599208;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/09/2023, 20:27:20  / 1683656825.4950109;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/09/2023, 20:28:20  / 1683656916.118963;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/25/2023, 04:40:04  / 1684982401.4447396;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/25/2023, 04:45:04  / 1684982726.8636847;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/25/2023, 04:52:04  / 1684983157.7175052;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/25/2023, 04:53:04  / 1684983183.0704567;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/25/2023, 04:54:04  / 1684983272.849333;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/25/2023, 04:58:04  / 1684983534.0245275;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/25/2023, 05:02:05  / 1684983752.898519;linguaggio_real;LAPTOP-C9JC0TN4
fbast;05/25/2023, 05:39:05  / 1684985961.6603947;linguaggio_real;LAPTOP-C9JC0TN4
fbast;06/09/2023, 19:08:19  / 1686330506.4958117;linguaggio_real;LAPTOP-C9JC0TN4
fbast;06/09/2023, 19:11:19  / 1686330662.8203797;linguaggio_real;LAPTOP-C9JC0TN4
fbast;06/09/2023, 19:11:19  / 1686330709.8218868;linguaggio_real;LAPTOP-C9JC0TN4
fbast;06/09/2023, 19:12:19  / 1686330729.50696;linguaggio_real;LAPTOP-C9JC0TN4
fbast;06/09/2023, 19:13:19  / 1686330784.1868968;linguaggio_real;LAPTOP-C9JC0TN4
fbast;06/09/2023, 19:15:19  / 1686330956.8863347;linguaggio_real;LAPTOP-C9JC0TN4
fbast;06/09/2023, 19:17:19  / 1686331064.5113559;linguaggio_real;LAPTOP-C9JC0TN4
fbast;06/09/2023, 19:20:19  / 1686331237.9339674;linguaggio_real;LAPTOP-C9JC0TN4
fbast;06/09/2023, 19:21:19  / 1686331284.681205;linguaggio_real;LAPTOP-C9JC0TN4
fbast;06/09/2023, 19:22:19  / 1686331364.77631;linguaggio_real;LAPTOP-C9JC0TN4
